train_loss,train_acc,test_loss,test_acc,seconds,num_participant_points,e,d,nm,norm
0.0,0.0,0.0,0.0,0.0,0,"{""0"": 0.0, ""42000"": 0.0, ""54000"": 0.0}",1e-05,5.0,5.0
2.3098,0.0958,2.2819,0.1253,1.6706,17301,"{""0"": 0.17532566229549082, ""42000"": 0.35486903468212566, ""54000"": 0.7174871887769432}",1e-05,5.0,5.0
2.2827,0.1265,2.2602,0.1746,1.6295,17198,"{""0"": 0.23145457084269705, ""42000"": 0.48310842490168954, ""54000"": 1.034431928778072}",1e-05,5.0,5.0
2.2622,0.1716,2.2356,0.2962,1.5874,17194,"{""0"": 0.27604858479043254, ""42000"": 0.5834439885181528, ""54000"": 1.2839177888950901}",1e-05,5.0,5.0
2.236,0.2811,2.2018,0.39,1.5624,17024,"{""0"": 0.31446600331844704, ""42000"": 0.669331803145876, ""54000"": 1.4988140262779952}",1e-05,5.0,5.0
2.2045,0.3903,2.1628,0.1881,1.6521,17314,"{""0"": 0.3484850694458355, ""42000"": 0.7460882883281565, ""54000"": 1.6908879492613142}",1e-05,5.0,5.0
2.1667,0.1855,2.1257,0.3963,1.6479,17367,"{""0"": 0.3797618362152588, ""42000"": 0.8152131637931853, ""54000"": 1.865826971231005}",1e-05,5.0,5.0
2.129,0.395,2.3324,0.2599,1.648,17348,"{""0"": 0.40803916088888187, ""42000"": 0.8796040044828479, ""54000"": 2.027000383283316}",1e-05,5.0,5.0
2.3252,0.2613,2.1913,0.3331,1.6988,17435,"{""0"": 0.43493727285800243, ""42000"": 0.940141279853979, ""54000"": 2.1829206399807104}",1e-05,5.0,5.0
2.1921,0.3364,2.0597,0.3308,1.61,17472,"{""0"": 0.46061961169369714, ""42000"": 0.99742676661814, ""54000"": 2.3249507730660657}",1e-05,5.0,5.0
2.0651,0.3295,1.7701,0.4878,1.5919,17190,"{""0"": 0.484486989679919, ""42000"": 1.053998088954091, ""54000"": 2.466980906151421}",1e-05,5.0,5.0
1.7807,0.4864,1.7086,0.4718,1.5871,17242,"{""0"": 0.5077096003522601, ""42000"": 1.1034052188277095, ""54000"": 2.5973642710992277}",1e-05,5.0,5.0
1.7054,0.4742,1.8077,0.4831,1.6556,17313,"{""0"": 0.5296266530368716, ""42000"": 1.1528123487013278, ""54000"": 2.7231147350313814}",1e-05,5.0,5.0
1.8038,0.4831,1.6097,0.4672,1.6367,17177,"{""0"": 0.5513871528281583, ""42000"": 1.2013140240040705, ""54000"": 2.8488651989635354}",1e-05,5.0,5.0
1.6073,0.4672,1.6429,0.4699,1.6642,17292,"{""0"": 0.5714190535130421, ""42000"": 1.2469153128484274, ""54000"": 2.9746156628956895}",1e-05,5.0,5.0
1.6202,0.4818,2.0835,0.3324,1.5924,17318,"{""0"": 0.5914504620616706, ""42000"": 1.2925166016927843, ""54000"": 3.0842080440396304}",1e-05,5.0,5.0
2.0688,0.3344,1.4328,0.6462,1.5915,17389,"{""0"": 0.6105629323890712, ""42000"": 1.3357032520736087, ""54000"": 3.193798455453924}",1e-05,5.0,5.0
1.4234,0.652,1.2127,0.5824,1.5786,17265,"{""0"": 0.6296754027164718, ""42000"": 1.3775833323311975, ""54000"": 3.3033888668682176}",1e-05,5.0,5.0
1.1985,0.5822,1.3794,0.5665,1.6742,17453,"{""0"": 0.6480560043756036, ""42000"": 1.4194634125887862, ""54000"": 3.412979278282511}",1e-05,5.0,5.0
1.3974,0.5567,1.2096,0.6311,1.618,16981,"{""0"": 0.6653735286780798, ""42000"": 1.4602868806153035, ""54000"": 3.5225696896968044}",1e-05,5.0,5.0
1.2265,0.6219,1.0223,0.7032,1.6377,17244,"{""0"": 0.6826910529805559, ""42000"": 1.498527368741964, ""54000"": 3.632160101111098}",1e-05,5.0,5.0
1.0271,0.6939,1.1233,0.6372,1.585,17291,"{""0"": 0.6997856260841474, ""42000"": 1.5367678568686245, ""54000"": 3.7265084902869012}",1e-05,5.0,5.0
1.1206,0.6404,0.7472,0.7565,1.5752,17169,"{""0"": 0.7162267495863877, ""42000"": 1.575008344995285, ""54000"": 3.8200607211408255}",1e-05,5.0,5.0
0.7544,0.758,0.6761,0.7783,1.5935,17369,"{""0"": 0.7326678730886278, ""42000"": 1.6132488331219454, ""54000"": 3.9136129519947507}",1e-05,5.0,5.0
0.6877,0.7699,0.9341,0.7351,1.6457,17329,"{""0"": 0.749108996590868, ""42000"": 1.6485039927291925, ""54000"": 4.007165182848675}",1e-05,5.0,5.0
0.94,0.7228,1.1839,0.673,1.6586,17407,"{""0"": 0.765190068929532, ""42000"": 1.6831836241173728, ""54000"": 4.1007174137026}",1e-05,5.0,5.0
1.1965,0.6738,1.0008,0.694,1.6346,17199,"{""0"": 0.7799184704276547, ""42000"": 1.7178632555055533, ""54000"": 4.194269644556524}",1e-05,5.0,5.0
0.9917,0.6929,0.6171,0.7884,1.5874,17217,"{""0"": 0.7946468719257775, ""42000"": 1.7525428868937338, ""54000"": 4.287821875410449}",1e-05,5.0,5.0
0.6093,0.7943,0.4599,0.8569,1.5822,17225,"{""0"": 0.8093752734239004, ""42000"": 1.7872225182819144, ""54000"": 4.381374106264374}",1e-05,5.0,5.0
0.4642,0.8492,0.4448,0.8475,1.5691,17156,"{""0"": 0.8241036749220232, ""42000"": 1.821902149670095, ""54000"": 4.4749263371182995}",1e-05,5.0,5.0
0.4411,0.8497,0.6207,0.8175,1.6404,17231,"{""0"": 0.838699065665142, ""42000"": 1.8538533651889815, ""54000"": 4.568478567972224}",1e-05,5.0,5.0
0.6152,0.8133,0.6059,0.7961,1.6305,17172,"{""0"": 0.8525903743300193, ""42000"": 1.8850481228024818, ""54000"": 4.659509878221136}",1e-05,5.0,5.0
0.6104,0.7989,0.6031,0.8129,1.6435,17298,"{""0"": 0.8664816829948965, ""42000"": 1.916242880415982, ""54000"": 4.737147992459888}",1e-05,5.0,5.0
0.6058,0.8096,0.6755,0.7844,1.5859,17255,"{""0"": 0.8803729916597737, ""42000"": 1.9474376380294824, ""54000"": 4.81478610669864}",1e-05,5.0,5.0
0.658,0.7883,0.5255,0.8429,1.5628,16990,"{""0"": 0.894264300324651, ""42000"": 1.978632395642983, ""54000"": 4.892424220937392}",1e-05,5.0,5.0
0.5194,0.8436,0.3928,0.8789,1.601,17337,"{""0"": 0.9073807376824324, ""42000"": 2.009827153256483, ""54000"": 4.970062335176144}",1e-05,5.0,5.0
0.399,0.8742,0.4467,0.8623,1.6573,17395,"{""0"": 0.9204473122518549, ""42000"": 2.041021910869983, ""54000"": 5.047700449414896}",1e-05,5.0,5.0
0.4378,0.8659,0.4803,0.8487,1.6898,17425,"{""0"": 0.9335138868212774, ""42000"": 2.0722166684834837, ""54000"": 5.125338563653648}",1e-05,5.0,5.0
0.4967,0.8435,0.4879,0.8546,1.6576,17346,"{""0"": 0.9465804613907, ""42000"": 2.1024425782342226, ""54000"": 5.2029766778924005}",1e-05,5.0,5.0
0.4745,0.8573,0.4444,0.8643,1.5818,17180,"{""0"": 0.9596470359601225, ""42000"": 2.1302258151536004, ""54000"": 5.280614792131153}",1e-05,5.0,5.0
0.4521,0.8611,0.4776,0.8583,1.5986,17487,"{""0"": 0.9720115272255854, ""42000"": 2.158009052072978, ""54000"": 5.358252906369905}",1e-05,5.0,5.0
0.4595,0.8615,0.4166,0.8745,1.5776,17135,"{""0"": 0.9842653807627078, ""42000"": 2.185792288992356, ""54000"": 5.435891020608657}",1e-05,5.0,5.0
0.436,0.8699,0.452,0.8669,1.6491,17318,"{""0"": 0.9965192342998301, ""42000"": 2.213575525911734, ""54000"": 5.513529134847409}",1e-05,5.0,5.0
0.4423,0.8662,0.4316,0.8746,1.6597,17410,"{""0"": 1.0087730878369523, ""42000"": 2.2413587628311116, ""54000"": 5.591167249086161}",1e-05,5.0,5.0
0.4343,0.8713,0.4096,0.877,1.6432,17165,"{""0"": 1.021026941374075, ""42000"": 2.2691419997504894, ""54000"": 5.668805363324913}",1e-05,5.0,5.0
0.4044,0.8795,0.4005,0.8865,1.584,17246,"{""0"": 1.033280794911197, ""42000"": 2.296925236669867, ""54000"": 5.746443477563665}",1e-05,5.0,5.0
0.416,0.8779,0.3695,0.8887,1.5983,17398,"{""0"": 1.0455346484483197, ""42000"": 2.324708473589245, ""54000"": 5.824081591802417}",1e-05,5.0,5.0
0.3633,0.8899,0.3781,0.8939,1.5841,17190,"{""0"": 1.0577885019854418, ""42000"": 2.3524917105086227, ""54000"": 5.9017197060411695}",1e-05,5.0,5.0
0.3828,0.886,0.34,0.9001,1.6396,17193,"{""0"": 1.0700423555225642, ""42000"": 2.3802749474280005, ""54000"": 5.979357820279922}",1e-05,5.0,5.0
0.3295,0.9021,0.3294,0.9084,1.644,17325,"{""0"": 1.0822962090596866, ""42000"": 2.4080581843473783, ""54000"": 6.056995934518674}",1e-05,5.0,5.0
0.3392,0.9014,0.3062,0.9123,1.6398,17264,"{""0"": 1.0930837578088741, ""42000"": 2.435841421266756, ""54000"": 6.134634048757426}",1e-05,5.0,5.0
0.3073,0.9114,0.2998,0.9152,1.6541,17430,"{""0"": 1.1037468971606936, ""42000"": 2.4606795286072556, ""54000"": 6.212272162996178}",1e-05,5.0,5.0
0.3041,0.9107,0.2859,0.9187,1.5866,17322,"{""0"": 1.114410036512513, ""42000"": 2.485122084700623, ""54000"": 6.28991027723493}",1e-05,5.0,5.0
0.2855,0.9179,0.2871,0.9195,1.5906,17345,"{""0"": 1.1250731758643322, ""42000"": 2.5095646407939896, ""54000"": 6.36592137690912}",1e-05,5.0,5.0
0.2959,0.9142,0.276,0.9239,1.6474,17258,"{""0"": 1.1357363152161517, ""42000"": 2.534007196887357, ""54000"": 6.427771560835109}",1e-05,5.0,5.0
0.2849,0.9189,0.2877,0.9209,1.6526,17322,"{""0"": 1.1463994545679708, ""42000"": 2.558449752980724, ""54000"": 6.4896217447610995}",1e-05,5.0,5.0
0.2957,0.9171,0.2743,0.9244,1.6405,17331,"{""0"": 1.1570625939197903, ""42000"": 2.582892309074091, ""54000"": 6.551471928687088}",1e-05,5.0,5.0
0.2734,0.9209,0.2936,0.9207,1.645,17247,"{""0"": 1.1677257332716096, ""42000"": 2.6073348651674584, ""54000"": 6.613322112613079}",1e-05,5.0,5.0
0.2998,0.9167,0.2749,0.9242,1.5883,17284,"{""0"": 1.1783888726234288, ""42000"": 2.6317774212608254, ""54000"": 6.675172296539068}",1e-05,5.0,5.0
0.2795,0.9197,0.3109,0.9163,1.5818,17259,"{""0"": 1.1890520119752483, ""42000"": 2.6562199773541924, ""54000"": 6.7370224804650585}",1e-05,5.0,5.0
0.3097,0.9144,0.2779,0.9243,1.6729,17424,"{""0"": 1.1997151513270676, ""42000"": 2.68066253344756, ""54000"": 6.798872664391047}",1e-05,5.0,5.0
0.2738,0.9228,0.3072,0.9174,1.6511,17407,"{""0"": 1.210378290678887, ""42000"": 2.7051050895409263, ""54000"": 6.860722848317038}",1e-05,5.0,5.0
0.3052,0.9163,0.2624,0.9296,1.6507,17233,"{""0"": 1.2210414300307064, ""42000"": 2.7295476456342938, ""54000"": 6.922573032243027}",1e-05,5.0,5.0
0.2647,0.9267,0.2821,0.9235,1.6575,17377,"{""0"": 1.2312222740264303, ""42000"": 2.7539902017276607, ""54000"": 6.984423216169017}",1e-05,5.0,5.0
0.2864,0.9228,0.2578,0.9311,1.6022,17245,"{""0"": 1.2411067979153032, ""42000"": 2.7784327578210277, ""54000"": 7.046273400095006}",1e-05,5.0,5.0
0.2654,0.9278,0.2718,0.9276,1.6045,17251,"{""0"": 1.2509913218041764, ""42000"": 2.802875313914395, ""54000"": 7.108123584020996}",1e-05,5.0,5.0
0.2688,0.9268,0.2516,0.9328,1.5701,17079,"{""0"": 1.2608758456930493, ""42000"": 2.827317870007762, ""54000"": 7.169973767946986}",1e-05,5.0,5.0
0.2517,0.9274,0.2652,0.929,1.656,17382,"{""0"": 1.2707603695819223, ""42000"": 2.851760426101129, ""54000"": 7.231823951872975}",1e-05,5.0,5.0
0.2655,0.928,0.2469,0.9355,1.6525,17320,"{""0"": 1.2806448934707955, ""42000"": 2.8762029821944965, ""54000"": 7.293674135798965}",1e-05,5.0,5.0
0.256,0.9293,0.2624,0.9306,1.6388,17160,"{""0"": 1.2905294173596684, ""42000"": 2.9006455382878635, ""54000"": 7.355524319724955}",1e-05,5.0,5.0
0.2602,0.9307,0.2429,0.9359,1.5798,17183,"{""0"": 1.3004139412485414, ""42000"": 2.9222737789168094, ""54000"": 7.417374503650945}",1e-05,5.0,5.0
0.2468,0.9326,0.2532,0.9331,1.5819,17193,"{""0"": 1.3102984651374145, ""42000"": 2.9434440918609748, ""54000"": 7.479224687576934}",1e-05,5.0,5.0
0.2527,0.9315,0.2366,0.9383,1.5883,17276,"{""0"": 1.3201829890262875, ""42000"": 2.96461440480514, ""54000"": 7.541074871502924}",1e-05,5.0,5.0
0.2425,0.9336,0.2446,0.9354,1.6611,17295,"{""0"": 1.3300675129151605, ""42000"": 2.9857847177493055, ""54000"": 7.602925055428914}",1e-05,5.0,5.0
0.2518,0.9335,0.2318,0.9399,1.6333,17145,"{""0"": 1.3399520368040336, ""42000"": 3.006955030693471, ""54000"": 7.664775239354904}",1e-05,5.0,5.0
0.2347,0.936,0.2347,0.9382,1.6224,17110,"{""0"": 1.3493726250178568, ""42000"": 3.0281253436376363, ""54000"": 7.726625423280892}",1e-05,5.0,5.0
0.239,0.9368,0.2275,0.9418,1.5795,17226,"{""0"": 1.3584893004453993, ""42000"": 3.0492956565818017, ""54000"": 7.788475607206883}",1e-05,5.0,5.0
0.2368,0.9386,0.2349,0.938,1.5737,17178,"{""0"": 1.3676059758729413, ""42000"": 3.070465969525967, ""54000"": 7.850325791132874}",1e-05,5.0,5.0
0.2338,0.9365,0.2249,0.9416,1.5657,17115,"{""0"": 1.3767226513004838, ""42000"": 3.091636282470133, ""54000"": 7.9121759750588625}",1e-05,5.0,5.0
0.241,0.9357,0.2297,0.9401,1.6486,17301,"{""0"": 1.3858393267280258, ""42000"": 3.1128065954142983, ""54000"": 7.974026158984851}",1e-05,5.0,5.0
0.2215,0.9395,0.2217,0.9428,1.6416,17261,"{""0"": 1.3949560021555683, ""42000"": 3.1339769083584637, ""54000"": 8.035876342910841}",1e-05,5.0,5.0
0.2289,0.9396,0.2254,0.9412,1.6463,17256,"{""0"": 1.4040726775831105, ""42000"": 3.1551472213026295, ""54000"": 8.097726526836832}",1e-05,5.0,5.0
0.2255,0.9387,0.2187,0.9443,1.5909,17257,"{""0"": 1.4131893530106527, ""42000"": 3.176317534246795, ""54000"": 8.15957671076282}",1e-05,5.0,5.0
0.244,0.9368,0.2186,0.9439,1.586,17259,"{""0"": 1.422306028438195, ""42000"": 3.1974878471909602, ""54000"": 8.22142689468881}",1e-05,5.0,5.0
0.2135,0.942,0.2165,0.9446,1.579,17225,"{""0"": 1.4314227038657372, ""42000"": 3.2186581601351256, ""54000"": 8.2832770786148}",1e-05,5.0,5.0
0.2261,0.9386,0.2171,0.9449,1.6477,17292,"{""0"": 1.4405393792932795, ""42000"": 3.239828473079291, ""54000"": 8.34512726254079}",1e-05,5.0,5.0
0.2263,0.9418,0.2148,0.9453,1.6659,17513,"{""0"": 1.4496560547208217, ""42000"": 3.2609987860234564, ""54000"": 8.40697744646678}",1e-05,5.0,5.0
0.2302,0.9406,0.2166,0.9443,1.6495,17312,"{""0"": 1.458772730148364, ""42000"": 3.2821690989676218, ""54000"": 8.468827630392768}",1e-05,5.0,5.0
0.2376,0.9387,0.2129,0.9464,1.5805,17142,"{""0"": 1.4678894055759062, ""42000"": 3.303339411911787, ""54000"": 8.530677814318759}",1e-05,5.0,5.0
0.221,0.94,0.2142,0.9443,1.5966,17387,"{""0"": 1.4770060810034484, ""42000"": 3.3245097248559525, ""54000"": 8.59252799824475}",1e-05,5.0,5.0
0.2146,0.9431,0.2111,0.9469,1.5852,17244,"{""0"": 1.4860557761131916, ""42000"": 3.3456800378001184, ""54000"": 8.654378182170738}",1e-05,5.0,5.0
0.2159,0.9422,0.2128,0.9458,1.6424,17245,"{""0"": 1.49441508911213, ""42000"": 3.3668503507442837, ""54000"": 8.716228366096727}",1e-05,5.0,5.0
0.2191,0.9425,0.2099,0.9475,1.6924,17413,"{""0"": 1.502774402111068, ""42000"": 3.388020663688449, ""54000"": 8.778078550022718}",1e-05,5.0,5.0
0.2157,0.9423,0.2119,0.9463,1.6546,17334,"{""0"": 1.5111337151100062, ""42000"": 3.409190976632615, ""54000"": 8.839928733948708}",1e-05,5.0,5.0
0.2048,0.9456,0.2084,0.9485,1.5826,17163,"{""0"": 1.5194930281089445, ""42000"": 3.4303612895767803, ""54000"": 8.901778917874697}",1e-05,5.0,5.0
0.2073,0.9448,0.2093,0.9472,1.5779,17258,"{""0"": 1.5278523411078828, ""42000"": 3.4515316025209457, ""54000"": 8.963629101800686}",1e-05,5.0,5.0
0.2089,0.9442,0.2065,0.9482,1.5849,17200,"{""0"": 1.536211654106821, ""42000"": 3.472701915465111, ""54000"": 9.025479285726677}",1e-05,5.0,5.0
0.2119,0.9442,0.2067,0.9484,1.6333,17197,"{""0"": 1.544570967105759, ""42000"": 3.4938722284092765, ""54000"": 9.087329469652667}",1e-05,5.0,5.0
0.2091,0.9434,0.204,0.9495,1.6508,17144,"{""0"": 1.5529302801046974, ""42000"": 3.515042541353442, ""54000"": 9.149179653578656}",1e-05,5.0,5.0
0.2172,0.9418,0.2051,0.9483,1.6461,17339,"{""0"": 1.5612895931036355, ""42000"": 3.5362128542976072, ""54000"": 9.211029837504645}",1e-05,5.0,5.0
0.2052,0.9467,0.2032,0.9501,1.5901,17296,"{""0"": 1.5696489061025736, ""42000"": 3.5573831672417726, ""54000"": 9.272880021430636}",1e-05,5.0,5.0
0.2061,0.9469,0.2035,0.9495,1.582,17337,"{""0"": 1.578008219101512, ""42000"": 3.5762969415179797, ""54000"": 9.334730205356626}",1e-05,5.0,5.0
0.2034,0.9465,0.2014,0.9497,1.5732,17212,"{""0"": 1.58636753210045, ""42000"": 3.594261152400787, ""54000"": 9.396580389282615}",1e-05,5.0,5.0
0.2004,0.9476,0.2022,0.9502,1.6388,17239,"{""0"": 1.5947268450993881, ""42000"": 3.6122253632835934, ""54000"": 9.458430573208604}",1e-05,5.0,5.0
0.2033,0.9482,0.2005,0.9506,1.644,17268,"{""0"": 1.6030861580983264, ""42000"": 3.6301895741664008, ""54000"": 9.520280757134595}",1e-05,5.0,5.0
0.2077,0.9467,0.1993,0.9508,1.6394,17230,"{""0"": 1.6114454710972645, ""42000"": 3.6481537850492076, ""54000"": 9.582130941060585}",1e-05,5.0,5.0
0.2051,0.9457,0.198,0.9515,1.5689,17163,"{""0"": 1.6198047840962027, ""42000"": 3.6661179959320145, ""54000"": 9.643981124986574}",1e-05,5.0,5.0
0.2003,0.9465,0.1983,0.9509,1.5809,17295,"{""0"": 1.628164097095141, ""42000"": 3.6840822068148213, ""54000"": 9.705831308912563}",1e-05,5.0,5.0
0.1912,0.9492,0.1969,0.952,1.5891,17305,"{""0"": 1.6365234100940793, ""42000"": 3.702046417697628, ""54000"": 9.767681492838554}",1e-05,5.0,5.0
0.1968,0.9486,0.1961,0.9513,1.6412,17323,"{""0"": 1.6448827230930172, ""42000"": 3.7200106285804355, ""54000"": 9.829531676764542}",1e-05,5.0,5.0
0.1954,0.9494,0.1958,0.9522,1.6492,17373,"{""0"": 1.6532420360919555, ""42000"": 3.737974839463242, ""54000"": 9.882644997839586}",1e-05,5.0,5.0
0.1971,0.9499,0.1955,0.9519,1.6363,17198,"{""0"": 1.6611433291560516, ""42000"": 3.7559390503460492, ""54000"": 9.92883548436501}",1e-05,5.0,5.0
0.1992,0.9493,0.1942,0.9522,1.5976,17375,"{""0"": 1.6687554957303143, ""42000"": 3.773903261228856, ""54000"": 9.975025970890435}",1e-05,5.0,5.0
0.2039,0.9482,0.1934,0.9524,1.5803,17313,"{""0"": 1.6763676623045776, ""42000"": 3.791867472111663, ""54000"": 10.02121645741586}",1e-05,5.0,5.0
0.2008,0.9488,0.1933,0.9527,1.5845,17334,"{""0"": 1.6839798288788403, ""42000"": 3.80983168299447, ""54000"": 10.067406943941284}",1e-05,5.0,5.0
0.1847,0.9514,0.192,0.9531,1.6578,17213,"{""0"": 1.6915919954531036, ""42000"": 3.8277958938772767, ""54000"": 10.113597430466708}",1e-05,5.0,5.0
0.1969,0.9476,0.1908,0.9534,1.6476,17337,"{""0"": 1.6992041620273663, ""42000"": 3.845760104760084, ""54000"": 10.159787916992133}",1e-05,5.0,5.0
0.1814,0.9517,0.1908,0.9536,1.6582,17284,"{""0"": 1.7068163286016294, ""42000"": 3.8637243156428904, ""54000"": 10.205978403517557}",1e-05,5.0,5.0
0.199,0.9485,0.1907,0.9529,1.5805,17253,"{""0"": 1.7144284951758924, ""42000"": 3.8816885265256977, ""54000"": 10.25216889004298}",1e-05,5.0,5.0
0.1948,0.9502,0.1899,0.9536,1.6064,17318,"{""0"": 1.7220406617501554, ""42000"": 3.899652737408504, ""54000"": 10.298359376568406}",1e-05,5.0,5.0
0.1996,0.9485,0.1901,0.9531,1.6137,17475,"{""0"": 1.7296528283244184, ""42000"": 3.9176169482913115, ""54000"": 10.344549863093832}",1e-05,5.0,5.0
0.2083,0.949,0.1877,0.9543,1.6458,17252,"{""0"": 1.7372649948986811, ""42000"": 3.9355811591741188, ""54000"": 10.390740349619255}",1e-05,5.0,5.0
0.1941,0.95,0.1879,0.9541,1.6459,17254,"{""0"": 1.7448771614729444, ""42000"": 3.953545370056925, ""54000"": 10.436930836144679}",1e-05,5.0,5.0
0.2006,0.9496,0.1871,0.9548,1.6427,17294,"{""0"": 1.7524893280472071, ""42000"": 3.9715095809397316, ""54000"": 10.483121322670105}",1e-05,5.0,5.0
0.1924,0.9515,0.1869,0.9537,1.5866,17280,"{""0"": 1.7601014946214704, ""42000"": 3.989473791822539, ""54000"": 10.529311809195528}",1e-05,5.0,5.0
0.1847,0.9537,0.1855,0.9551,1.5822,17304,"{""0"": 1.7677136611957331, ""42000"": 4.007438002705346, ""54000"": 10.575502295720952}",1e-05,5.0,5.0
0.1921,0.9515,0.1846,0.9558,1.5782,17241,"{""0"": 1.7753258277699961, ""42000"": 4.025402213588153, ""54000"": 10.621692782246377}",1e-05,5.0,5.0
0.1966,0.95,0.1843,0.9556,1.6478,17344,"{""0"": 1.7829379943442591, ""42000"": 4.0433664244709595, ""54000"": 10.667883268771803}",1e-05,5.0,5.0
0.1821,0.9524,0.1848,0.9559,1.6618,17353,"{""0"": 1.7905501609185221, ""42000"": 4.061330635353766, ""54000"": 10.714073755297226}",1e-05,5.0,5.0
0.1882,0.9517,0.1837,0.9553,1.641,17219,"{""0"": 1.7981623274927852, ""42000"": 4.079294846236573, ""54000"": 10.76026424182265}",1e-05,5.0,5.0
0.1987,0.9491,0.1822,0.9566,1.5662,17080,"{""0"": 1.8057744940670482, ""42000"": 4.0972590571193805, ""54000"": 10.806454728348076}",1e-05,5.0,5.0
0.1949,0.9514,0.1814,0.9562,1.5695,17145,"{""0"": 1.8133866606413112, ""42000"": 4.115223268002187, ""54000"": 10.852645214873501}",1e-05,5.0,5.0
0.1872,0.9531,0.1809,0.9566,1.5797,17236,"{""0"": 1.8209988272155742, ""42000"": 4.133187478884994, ""54000"": 10.898835701398925}",1e-05,5.0,5.0
0.1875,0.9528,0.1806,0.9573,1.6459,17355,"{""0"": 1.828610993789837, ""42000"": 4.151151689767801, ""54000"": 10.945026187924348}",1e-05,5.0,5.0
0.1873,0.9522,0.1805,0.9559,1.6317,17200,"{""0"": 1.8362231603641, ""42000"": 4.169115900650608, ""54000"": 10.991216674449774}",1e-05,5.0,5.0
0.1765,0.9543,0.1808,0.957,1.6396,17214,"{""0"": 1.843835326938363, ""42000"": 4.187080111533415, ""54000"": 11.037407160975198}",1e-05,5.0,5.0
0.1937,0.9524,0.1791,0.9568,1.583,17290,"{""0"": 1.851447493512626, ""42000"": 4.205044322416222, ""54000"": 11.083597647500621}",1e-05,5.0,5.0
0.1902,0.9525,0.178,0.9568,1.5917,17325,"{""0"": 1.859059660086889, ""42000"": 4.223008533299028, ""54000"": 11.129788134026047}",1e-05,5.0,5.0
0.1843,0.954,0.1776,0.9565,1.5671,17101,"{""0"": 1.866671826661152, ""42000"": 4.2409727441818355, ""54000"": 11.175978620551472}",1e-05,5.0,5.0
0.1904,0.9528,0.1774,0.9562,1.6634,17497,"{""0"": 1.8736323700611348, ""42000"": 4.258936955064643, ""54000"": 11.222169107076896}",1e-05,5.0,5.0
0.1838,0.9536,0.1763,0.9567,1.6499,17300,"{""0"": 1.880507346559532, ""42000"": 4.27690116594745, ""54000"": 11.26835959360232}",1e-05,5.0,5.0
0.181,0.9537,0.1764,0.957,1.6523,17310,"{""0"": 1.8873823230579285, ""42000"": 4.2948653768302565, ""54000"": 11.314550080127745}",1e-05,5.0,5.0
0.183,0.9533,0.1755,0.9575,1.6658,17384,"{""0"": 1.8942572995563256, ""42000"": 4.312829587713063, ""54000"": 11.360740566653169}",1e-05,5.0,5.0
0.187,0.9543,0.1755,0.9575,1.5751,17184,"{""0"": 1.9011322760547222, ""42000"": 4.33079379859587, ""54000"": 11.406931053178592}",1e-05,5.0,5.0
0.1711,0.9562,0.1754,0.9576,1.603,17453,"{""0"": 1.9080072525531193, ""42000"": 4.3487580094786775, ""54000"": 11.453121539704018}",1e-05,5.0,5.0
0.1869,0.9539,0.1751,0.9571,1.6646,17433,"{""0"": 1.914882229051516, ""42000"": 4.366722220361484, ""54000"": 11.499312026229443}",1e-05,5.0,5.0
0.1813,0.9547,0.1735,0.9585,1.6431,17204,"{""0"": 1.921757205549913, ""42000"": 4.384686431244291, ""54000"": 11.545502512754867}",1e-05,5.0,5.0
0.185,0.9538,0.1741,0.9568,1.679,17288,"{""0"": 1.9286321820483097, ""42000"": 4.402650642127098, ""54000"": 11.59169299928029}",1e-05,5.0,5.0
0.1835,0.9544,0.1732,0.958,1.652,17295,"{""0"": 1.9355071585467067, ""42000"": 4.420614853009905, ""54000"": 11.637883485805716}",1e-05,5.0,5.0
0.1834,0.9535,0.1721,0.9584,1.5925,17324,"{""0"": 1.9423821350451038, ""42000"": 4.438579063892712, ""54000"": 11.68407397233114}",1e-05,5.0,5.0
0.1761,0.9546,0.1717,0.9581,1.5864,17344,"{""0"": 1.9492571115435005, ""42000"": 4.456543274775519, ""54000"": 11.730264458856563}",1e-05,5.0,5.0
